%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
481339000000,24050,481339000000,,end,joint2,joint4,joint6,motortom2m,-0.118054553604,0.235826600675,0.49499115565,0.199779601995,-0.812320254481,4.8580989079e-07,1.35053265182e-06,4.25589982194e-07,2.74078004713e-07,2.26303920215e-06,0.0,0.0,0.0,0.0,0.0
481359000000,24051,481359000000,,end,joint2,joint4,joint6,motortom2m,-0.118676685396,0.236114102053,0.495995939331,0.200245736455,-0.813456415248,4.83078217103e-07,1.34533013838e-06,4.20446910365e-07,2.70227789494e-07,2.2574926611e-06,0.0,0.0,0.0,0.0,0.0
481379000000,24052,481379000000,,end,joint2,joint4,joint6,motortom2m,-0.119635932692,0.23655739224,0.497545186681,0.200964455907,-0.815208229193,4.82383863163e-07,1.34439590578e-06,4.18117302808e-07,2.68432049651e-07,2.25749280306e-06,0.0,0.0,0.0,0.0,0.0
481399000000,24053,481399000000,,end,joint2,joint4,joint6,motortom2m,-0.120917226245,0.237149507377,0.499614559866,0.20192446966,-0.817548176294,4.82173671181e-07,1.34460384558e-06,4.16155665354e-07,2.66881558216e-07,2.25924796591e-06,0.0,0.0,0.0,0.0,0.0
481420000000,24054,481419000000,,end,joint2,joint4,joint6,motortom2m,-0.122475666457,0.237869695796,0.502131539807,0.203092134558,-0.820394259804,-5.38774655557e-07,-7.00930089028e-07,-1.20481337859e-06,-9.33783189445e-07,-2.04877350702e-07,0.0,0.0,0.0,0.0,0.0
481440000000,24055,481439000000,,end,joint2,joint4,joint6,motortom2m,-0.124249323287,0.238689343234,0.504996111955,0.204421053223,-0.823633379533,-5.37612162328e-07,-6.96464458207e-07,-1.20441584618e-06,-9.33822483626e-07,-1.96994661325e-07,0.0,0.0,0.0,0.0,0.0
481459000000,24056,481459000000,,end,joint2,joint4,joint6,motortom2m,-0.126172046388,0.239577877559,0.508101435869,0.205861660298,-0.82714472981,-5.3831800205e-07,-6.95549930038e-07,-1.20708708125e-06,-9.3616547431e-07,-1.93191944174e-07,0.0,0.0,0.0,0.0,0.0
481479000000,24057,481479000000,,end,joint2,joint4,joint6,motortom2m,-0.128186265005,0.240508694,0.511354531,0.20737082069,-0.830823172736,-5.39191308952e-07,-6.94854902155e-07,-1.21008591353e-06,-9.3876944995e-07,-1.8953826482e-07,0.0,0.0,0.0,0.0,0.0
481499000000,24058,481499000000,,end,joint2,joint4,joint6,motortom2m,-0.130255791986,0.241465072146,0.514696955976,0.208921423001,-0.834602621367,4.78496373618e-07,1.34191895199e-06,3.98607889743e-07,2.53150824614e-07,2.26682840858e-06,0.0,0.0,0.0,0.0,0.0
481519000000,24059,481519000000,,end,joint2,joint4,joint6,motortom2m,-0.132378631854,0.242446084821,0.518125481448,0.210511968192,-0.838479432677,4.74454473847e-07,1.33488819709e-06,3.89564730708e-07,2.46285575356e-07,2.2607715903e-06,0.0,0.0,0.0,0.0,0.0
481540000000,24060,481539000000,,end,joint2,joint4,joint6,motortom2m,-0.134599778683,0.243472527347,0.521712779077,0.212176170206,-0.842535775949,4.72878950447e-07,1.33282088506e-06,3.84303777389e-07,2.42218967023e-07,2.26078430177e-06,0.0,0.0,0.0,0.0,0.0
481560000000,24061,481559000000,,end,joint2,joint4,joint6,motortom2m,-0.137055693471,0.244607461485,0.525679242336,0.21401627293,-0.847020861455,4.71966175056e-07,1.33214696821e-06,3.79786692499e-07,2.38694904539e-07,2.2627069284e-06,0.0,0.0,0.0,0.0,0.0
481579000000,24062,481579000000,,end,joint2,joint4,joint6,motortom2m,-0.139981703358,0.245959634814,0.530404936777,0.216208594126,-0.852364453181,-5.30208464495e-07,-6.62864586904e-07,-1.20529979807e-06,-9.37406388922e-07,-1.34884005431e-07,0.0,0.0,0.0,0.0,0.0
481600000000,24063,481599000000,,end,joint2,joint4,joint6,motortom2m,-0.143357354266,0.247519599961,0.535856834126,0.218737812353,-0.858529195957,-5.29012104719e-07,-6.56508529749e-07,-1.20607565562e-06,-9.38597114659e-07,-1.22725011891e-07,0.0,0.0,0.0,0.0,0.0
481619000000,24064,481619000000,,end,joint2,joint4,joint6,motortom2m,-0.146978490276,0.24919300936,0.541705205993,0.221450961147,-0.865142253016,-5.2909176322e-07,-6.52383335874e-07,-1.20901792815e-06,-9.4144442211e-07,-1.12964268814e-07,0.0,0.0,0.0,0.0,0.0
481640000000,24065,481639000000,,end,joint2,joint4,joint6,motortom2m,-0.150668410011,0.250898205285,0.54766466808,0.224215646386,-0.871880925542,-5.29165634814e-07,-6.4816840332e-07,-1.21197465712e-06,-9.44314687948e-07,-1.0305639967e-07,0.0,0.0,0.0,0.0,0.0
481660000000,24066,481659000000,,end,joint2,joint4,joint6,motortom2m,-0.15447517155,0.252657398886,0.55381284049,0.227067877653,-0.878832978492,4.60756104054e-07,1.31775066765e-06,3.40546857135e-07,2.08388376194e-07,2.26410141101e-06,0.0,0.0,0.0,0.0,0.0
481679000000,24067,481679000000,,end,joint2,joint4,joint6,motortom2m,-0.158554509952,0.254542554032,0.560401239221,0.230124336181,-0.886282822286,4.57344559303e-07,1.31274236322e-06,3.30177695726e-07,2.00429390874e-07,2.2622802584e-06,0.0,0.0,0.0,0.0,0.0
481699000000,24068,481699000000,,end,joint2,joint4,joint6,motortom2m,-0.162890305952,0.256546224076,0.567403833779,0.233372946462,-0.894201018754,4.55142354829e-07,1.31021317639e-06,3.21420316128e-07,1.93656629196e-07,2.26362721942e-06,0.0,0.0,0.0,0.0,0.0
481719000000,24069,481719000000,,end,joint2,joint4,joint6,motortom2m,-0.167403776938,0.258631999417,0.574693381994,0.236754678491,-0.902443692599,-5.16307109559e-07,-6.03371474494e-07,-1.20450223356e-06,-9.41734131247e-07,-2.80515332229e-08,0.0,0.0,0.0,0.0,0.0
481740000000,24070,481739000000,,end,joint2,joint4,joint6,motortom2m,-0.172097403059,0.260801030921,0.582273895652,0.240271394248,-0.911015372111,-5.14398246456e-07,-5.94274902411e-07,-1.20500947675e-06,-9.42925860631e-07,-1.14073105114e-08,0.0,0.0,0.0,0.0,0.0
481759000000,24071,481759000000,,end,joint2,joint4,joint6,motortom2m,-0.177075694671,0.263101612825,0.59031416272,0.244001396614,-0.920106918629,-5.13821279916e-07,-5.87524207764e-07,-1.20777651259e-06,-9.45840074503e-07,2.66326538494e-09,0.0,0.0,0.0,0.0,0.0
481780000000,24072,481779000000,,end,joint2,joint4,joint6,motortom2m,-0.182252547785,0.265493956841,0.59867512266,0.247880173708,-0.929561085255,4.44400829615e-07,1.29666375054e-06,2.81178786942e-07,1.62655477813e-07,2.26595198779e-06,0.0,0.0,0.0,0.0,0.0
481800000000,24073,481799000000,,end,joint2,joint4,joint6,motortom2m,-0.187497537918,0.267917786185,0.607146125289,0.25181000086,-0.939139686823,4.38379547535e-07,1.28679053424e-06,2.65531584181e-07,1.50740943964e-07,2.25887944156e-06,0.0,0.0,0.0,0.0,0.0
481820000000,24074,481819000000,,end,joint2,joint4,joint6,motortom2m,-0.192904362774,0.270416403045,0.615878501604,0.255861083247,-0.94900745372,4.3503549795e-07,1.28215915441e-06,2.53898668548e-07,1.41822167216e-07,2.25810744908e-06,0.0,0.0,0.0,0.0,0.0
481840000000,24075,481839000000,,end,joint2,joint4,joint6,motortom2m,-0.198455140281,0.27298154146,0.624843367934,0.260020020885,-0.959007455889,-4.99392476397e-07,-5.35661890217e-07,-1.20064046025e-06,-9.44088689835e-07,8.92603202773e-08,0.0,0.0,0.0,0.0,0.0
481859000000,24076,481859000000,,end,joint2,joint4,joint6,motortom2m,-0.20396183991,0.275526312747,0.633737048573,0.264145934808,-0.969007455869,-4.96222159183e-07,-5.23571327241e-07,-1.19957249812e-06,-9.44176432191e-07,1.09700625976e-07,0.0,0.0,0.0,0.0,0.0
481882000000,24077,481879000000,,end,joint2,joint4,joint6,motortom2m,-0.209437576755,0.278056775421,0.642580722281,0.268248649753,-0.979007455853,-4.95213811964e-07,-5.15753227965e-07,-1.20176682994e-06,-9.46690108054e-07,1.24846448609e-07,0.0,0.0,0.0,0.0,0.0
